Customer_ID,FICO_Score,Credit_Bureau_Score,Annual_Salary,Account_Open_Date,ZIP_Code,Business_Type,Asset_Value,Time_on_Books,PD,RWA,FICO_Band,Credit_Bureau_Band,Salary_Band,Counterparty_ID,Product_Type,CCF_Source
30,810,790,87695,2011-07-30,30303,Healthcare,519394,14.1,0.04,24090.32527443897,750+,750+,$80K–100K,,,
31,775,806,57900,2016-06-30,94105,Manufacturing,928397,9.2,0.075,65827.93022491703,750+,750+,$40K–60K,,,
32,489,664,148392,2013-11-16,30303,Retail,633982,11.8,0.361,154638.72047759095,<600,650–699,$100K+,,,
33,543,781,137235,2012-07-18,10001,Manufacturing,554061,13.1,0.307,161427.39290920738,<600,750+,$100K+,33.0,Guarantee,Internal Model
33,543,781,137235,2012-07-18,10001,Manufacturing,554061,13.1,0.307,161427.39290920738,<600,750+,$100K+,33.0,Commitment,Standardized
34,804,500,104899,2014-01-03,10001,Finance,800671,11.6,0.046,39033.65850919854,750+,<600,$100K+,,,
35,430,453,67701,2018-12-20,10001,Manufacturing,293007,6.7,0.42,103846.65231324975,<600,<600,$60K–80K,35.0,Guarantee,Standardized
35,430,453,67701,2018-12-20,10001,Manufacturing,293007,6.7,0.42,103846.65231324975,<600,<600,$60K–80K,35.0,Derivative,Internal Model
36,784,749,128777,2019-09-28,30303,Healthcare,323559,5.9,0.066,24086.24150669326,750+,700–749,$100K+,36.0,Derivative,Internal Model
36,784,749,128777,2019-09-28,30303,Healthcare,323559,5.9,0.066,24086.24150669326,750+,700–749,$100K+,36.0,Trade Finance,Standardized
37,320,800,39033,2012-04-12,94105,Retail,78968,13.4,0.53,41401.436156510346,<600,750+,<$40K,37.0,Guarantee,Internal Model
37,320,800,39033,2012-04-12,94105,Retail,78968,13.4,0.53,41401.436156510346,<600,750+,<$40K,37.0,Trade Finance,Standardized
37,320,800,39033,2012-04-12,94105,Retail,78968,13.4,0.53,41401.436156510346,<600,750+,<$40K,37.0,Trade Finance,Standardized
38,466,372,143193,2012-11-20,10001,Healthcare,503891,12.8,0.384,220496.1262123771,<600,<600,$100K+,38.0,Commitment,Internal Model
39,573,595,30805,2019-06-22,94105,Retail,594718,6.2,0.277,160470.72562760828,<600,<600,<$40K,39.0,Guarantee,Internal Model
39,573,595,30805,2019-06-22,94105,Retail,594718,6.2,0.277,160470.72562760828,<600,<600,<$40K,39.0,Derivative,Standardized
39,573,595,30805,2019-06-22,94105,Retail,594718,6.2,0.277,160470.72562760828,<600,<600,<$40K,39.0,Securitization,Standardized
40,687,316,55851,2014-07-07,30303,Finance,260072,11.1,0.163,28774.35662952234,650–699,<600,$40K–60K,,,
41,615,516,46832,2015-03-16,94105,Retail,11515,10.5,0.235,2126.435107526051,600–649,<600,$40K–60K,41.0,Guarantee,Internal Model
41,615,516,46832,2015-03-16,94105,Retail,11515,10.5,0.235,2126.435107526051,600–649,<600,$40K–60K,41.0,Commitment,Standardized
41,615,516,46832,2015-03-16,94105,Retail,11515,10.5,0.235,2126.435107526051,600–649,<600,$40K–60K,41.0,Commitment,Standardized
42,313,360,83437,2013-12-28,30303,Retail,107206,11.7,0.537,41512.128535442105,<600,<600,$80K–100K,42.0,Derivative,Internal Model
43,541,341,135725,2017-11-24,30303,Retail,255282,7.8,0.309,90343.38912657494,<600,<600,$100K+,43.0,Commitment,Internal Model
44,645,324,33944,2018-02-21,60606,Manufacturing,769990,7.5,0.205,166725.3250807147,600–649,<600,<$40K,,,
45,639,338,39873,2013-10-31,30303,Manufacturing,417821,11.8,0.211,88675.00047067761,600–649,<600,<$40K,,,
46,391,430,60372,2019-05-09,30303,Finance,852672,6.3,0.459,305500.54628703406,<600,<600,$60K–80K,46.0,Securitization,Standardized
47,666,797,109464,2011-03-19,20002,Retail,15586,14.4,0.184,2037.3792086160788,650–699,750+,$100K+,47.0,Guarantee,Internal Model
47,666,797,109464,2011-03-19,20002,Retail,15586,14.4,0.184,2037.3792086160788,650–699,750+,$100K+,47.0,Securitization,Internal Model
47,666,797,109464,2011-03-19,20002,Retail,15586,14.4,0.184,2037.3792086160788,650–699,750+,$100K+,47.0,Trade Finance,Standardized
48,754,528,35379,2015-10-24,10001,Tech,916851,9.8,0.096,92759.26674088636,750+,<600,<$40K,48.0,Guarantee,Internal Model
49,727,407,137322,2011-07-11,60606,Finance,918806,14.1,0.123,99959.52922285737,700–749,<600,$100K+,49.0,Trade Finance,Standardized
50,808,471,56751,2013-03-24,60606,Retail,779565,12.4,0.042,24080.68233200209,750+,<600,$40K–60K,,,
51,334,734,120082,2019-08-03,60606,Retail,565474,6.1,0.516,283023.2228305272,<600,700–749,$100K+,51.0,Commitment,Standardized
52,505,777,109822,2015-07-31,20002,Manufacturing,561216,10.1,0.345,120857.36465447882,<600,750+,$100K+,,,
53,380,401,25110,2010-12-29,30303,Finance,763624,14.7,0.47,285580.1124270382,<600,<600,<$40K,53.0,Commitment,Standardized
53,380,401,25110,2010-12-29,30303,Finance,763624,14.7,0.47,285580.1124270382,<600,<600,<$40K,53.0,Guarantee,Internal Model
53,380,401,25110,2010-12-29,30303,Finance,763624,14.7,0.47,285580.1124270382,<600,<600,<$40K,53.0,Derivative,Standardized
54,687,823,74341,2016-10-31,10001,Retail,748447,8.8,0.163,107495.60612382744,650–699,750+,$60K–80K,54.0,Derivative,Standardized
54,687,823,74341,2016-10-31,10001,Retail,748447,8.8,0.163,107495.60612382744,650–699,750+,$60K–80K,54.0,Derivative,Internal Model
55,301,574,32087,2013-06-11,94105,Retail,395134,12.2,0.549,149414.97314766137,<600,<600,<$40K,,,
56,689,343,43762,2019-12-14,30303,Finance,359173,5.7,0.161,68859.79363886235,650–699,<600,$40K–60K,,,
57,405,316,135812,2015-01-16,20002,Tech,554999,10.6,0.445,179169.77014271563,<600,<600,$100K+,,,
58,776,629,102617,2016-04-28,30303,Finance,589250,9.3,0.074,29573.08983538294,750+,600–649,$100K+,58.0,Trade Finance,Standardized
58,776,629,102617,2016-04-28,30303,Finance,589250,9.3,0.074,29573.08983538294,750+,600–649,$100K+,58.0,Guarantee,Internal Model
58,776,629,102617,2016-04-28,30303,Finance,589250,9.3,0.074,29573.08983538294,750+,600–649,$100K+,58.0,Derivative,Standardized
58,776,629,102617,2016-04-28,30303,Finance,589250,9.3,0.074,29573.08983538294,750+,600–649,$100K+,58.0,Guarantee,Standardized
59,701,796,120483,2015-01-25,30303,Finance,30039,10.6,0.149,3232.07677645595,700–749,750+,$100K+,59.0,Guarantee,Standardized
60,461,311,29596,2015-12-13,20002,Tech,570849,9.7,0.389,235702.90617264248,<600,<600,<$40K,,,
61,501,617,123555,2012-06-29,60606,Finance,216555,13.2,0.349,64641.859162332745,<600,600–649,$100K+,,,
62,569,515,127539,2010-09-02,60606,Retail,501087,15.0,0.281,132251.45468266873,<600,<600,$100K+,62.0,Commitment,Standardized
63,570,638,38313,2011-06-26,10001,Finance,229730,14.2,0.28,39405.48085059208,<600,600–649,<$40K,63.0,Commitment,Standardized
64,755,380,133175,2016-12-07,10001,Tech,11577,8.7,0.095,682.6098417831361,750+,<600,$100K+,,,
65,761,784,86549,2015-12-10,60606,Healthcare,117792,9.7,0.089,9094.376881022954,750+,750+,$80K–100K,65.0,Guarantee,Internal Model
66,551,673,134914,2015-12-13,94105,Finance,955854,9.7,0.299,311520.4182418429,<600,650–699,$100K+,,,
67,595,499,43705,2014-04-22,30303,Manufacturing,782268,11.4,0.255,225638.5932168279,<600,<600,$40K–60K,,,
68,637,836,87364,2016-01-27,94105,Retail,248540,9.6,0.213,34517.508429646165,600–649,750+,$80K–100K,,,
69,352,765,93445,2010-05-04,30303,Retail,961302,15.3,0.498,441874.8602006441,<600,750+,$80K–100K,69.0,Derivative,Internal Model
69,352,765,93445,2010-05-04,30303,Retail,961302,15.3,0.498,441874.8602006441,<600,750+,$80K–100K,69.0,Securitization,Internal Model
70,516,388,123892,2018-07-04,60606,Manufacturing,238506,7.1,0.334,91445.87861496702,<600,<600,$100K+,70.0,Derivative,Internal Model
71,487,567,98645,2018-08-25,10001,Manufacturing,746777,7.0,0.363,225751.03502927368,<600,<600,$80K–100K,,,
72,679,788,22023,2017-05-17,10001,Finance,20785,8.3,0.171,3901.624147720084,650–699,750+,<$40K,72.0,Guarantee,Standardized
73,792,837,139654,2014-09-28,94105,Manufacturing,82227,10.9,0.058,3244.069661585725,750+,750+,$100K+,,,
74,340,346,79796,2012-02-25,10001,Healthcare,915112,13.5,0.51,541957.4330020369,<600,<600,$60K–80K,74.0,Securitization,Standardized
75,456,587,100073,2015-08-06,60606,Tech,858389,10.1,0.394,355404.353390566,<600,<600,$100K+,75.0,Commitment,Internal Model
76,314,315,112197,2016-02-27,94105,Manufacturing,599719,9.5,0.536,374424.44681961817,<600,<600,$100K+,76.0,Derivative,Standardized
76,314,315,112197,2016-02-27,94105,Manufacturing,599719,9.5,0.536,374424.44681961817,<600,<600,$100K+,76.0,Commitment,Standardized
77,364,700,84429,2016-08-13,30303,Manufacturing,420513,9.0,0.486,205589.47234090348,<600,700–749,$80K–100K,,,
78,820,385,124195,2012-03-07,10001,Healthcare,868326,13.5,0.03,21309.82348783201,750+,<600,$100K+,,,
79,643,549,81627,2010-03-18,20002,Retail,257941,15.4,0.207,62092.09961591716,600–649,<600,$80K–100K,,,
80,428,690,53848,2010-02-28,10001,Retail,729132,15.5,0.422,235490.31966114632,<600,650–699,$40K–60K,80.0,Securitization,Internal Model
81,771,634,57804,2016-10-14,30303,Finance,160653,8.9,0.079,10144.430077653538,750+,600–649,$40K–60K,81.0,Trade Finance,Standardized
81,771,634,57804,2016-10-14,30303,Finance,160653,8.9,0.079,10144.430077653538,750+,600–649,$40K–60K,81.0,Securitization,Internal Model
82,362,818,35379,2017-05-09,94105,Healthcare,327336,8.3,0.488,163012.24935943715,<600,750+,<$40K,,,
83,438,436,79664,2014-03-04,30303,Tech,273606,11.5,0.412,119397.87969393143,<600,<600,$60K–80K,,,
84,798,797,47766,2015-04-21,20002,Tech,400992,10.4,0.052,24138.671288023965,750+,750+,$40K–60K,,,
85,691,776,129126,2015-11-27,60606,Healthcare,729533,9.8,0.159,83851.17325552476,650–699,750+,$100K+,,,
86,718,522,88099,2018-05-14,10001,Tech,943015,7.3,0.132,134286.6980808347,700–749,<600,$80K–100K,86.0,Commitment,Internal Model
86,718,522,88099,2018-05-14,10001,Tech,943015,7.3,0.132,134286.6980808347,700–749,<600,$80K–100K,86.0,Derivative,Internal Model
87,588,671,56060,2013-07-25,94105,Retail,348250,12.1,0.262,95176.52983861142,<600,650–699,$40K–60K,,,
88,678,701,114733,2010-03-09,60606,Tech,320809,15.5,0.172,35219.566356666954,650–699,700–749,$100K+,88.0,Guarantee,Standardized
89,789,742,89122,2018-08-07,30303,Tech,709774,7.1,0.061,36036.9059925536,750+,700–749,$80K–100K,,,
90,530,789,36087,2018-11-11,94105,Healthcare,353154,6.8,0.32,86978.64042673958,<600,750+,<$40K,90.0,Commitment,Standardized
90,530,789,36087,2018-11-11,94105,Healthcare,353154,6.8,0.32,86978.64042673958,<600,750+,<$40K,90.0,Guarantee,Standardized
91,340,572,68868,2019-10-01,60606,Healthcare,606861,5.9,0.51,242243.17520465684,<600,<600,$60K–80K,91.0,Securitization,Internal Model
92,327,825,139119,2016-06-10,94105,Tech,234737,9.2,0.523,146064.8003228008,<600,750+,$100K+,92.0,Derivative,Internal Model
92,327,825,139119,2016-06-10,94105,Tech,234737,9.2,0.523,146064.8003228008,<600,750+,$100K+,92.0,Trade Finance,Internal Model
93,434,458,43225,2015-04-17,20002,Manufacturing,904235,10.4,0.416,370770.0258857145,<600,<600,$40K–60K,,,
94,500,451,115286,2017-06-14,20002,Healthcare,653970,8.2,0.35,235894.8221515652,<600,<600,$100K+,94.0,Derivative,Internal Model
95,332,487,26643,2010-12-31,10001,Finance,547674,14.7,0.518,336454.08091896574,<600,<600,<$40K,,,
96,347,397,113059,2012-03-31,10001,Finance,396213,13.4,0.503,164681.7723995657,<600,<600,$100K+,96.0,Trade Finance,Standardized
96,347,397,113059,2012-03-31,10001,Finance,396213,13.4,0.503,164681.7723995657,<600,<600,$100K+,96.0,Trade Finance,Internal Model
96,347,397,113059,2012-03-31,10001,Finance,396213,13.4,0.503,164681.7723995657,<600,<600,$100K+,96.0,Securitization,Internal Model
97,802,430,56727,2013-11-03,20002,Retail,64460,11.8,0.048,3345.0225770438747,750+,<600,$40K–60K,,,
98,706,470,31005,2016-07-18,94105,Tech,409437,9.1,0.144,50747.04466754422,700–749,<600,<$40K,,,
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Trade Finance,Standardized
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Securitization,Standardized
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Securitization,Standardized
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Derivative,Internal Model
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Commitment,Standardized
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Guarantee,Standardized
99,398,482,129079,2012-08-04,20002,Manufacturing,426690,13.1,0.452,216339.3106421301,<600,<600,$100K+,99.0,Guarantee,Internal Model
100,846,663,85697,2018-01-25,10001,Retail,125375,7.6,0.004,355.2598541805711,750+,650–699,$80K–100K,100.0,Guarantee,Standardized
100,846,663,85697,2018-01-25,10001,Retail,125375,7.6,0.004,355.2598541805711,750+,650–699,$80K–100K,100.0,Derivative,Standardized
101,761,338,36029,2014-04-27,20002,Tech,909092,11.3,0.089,94551.42423905704,750+,<600,<$40K,,,
102,304,826,135281,2013-10-09,20002,Healthcare,162117,11.9,0.546,64728.39163598151,<600,750+,$100K+,,,
103,517,796,34226,2013-12-10,94105,Finance,887751,11.7,0.333,235235.24554230724,<600,750+,<$40K,103.0,Securitization,Standardized
103,517,796,34226,2013-12-10,94105,Finance,887751,11.7,0.333,235235.24554230724,<600,750+,<$40K,103.0,Guarantee,Internal Model
104,802,815,83646,2018-09-16,60606,Manufacturing,126582,6.9,0.048,6402.3069708778885,750+,750+,$80K–100K,104.0,Derivative,Standardized
104,802,815,83646,2018-09-16,60606,Manufacturing,126582,6.9,0.048,6402.3069708778885,750+,750+,$80K–100K,104.0,Securitization,Internal Model
105,697,648,80603,2019-12-14,10001,Finance,508909,5.7,0.153,65113.2383441119,650–699,600–649,$80K–100K,,,
106,692,696,48731,2012-02-01,94105,Healthcare,932426,13.6,0.158,142156.21199308036,650–699,650–699,$40K–60K,106.0,Derivative,Standardized
106,692,696,48731,2012-02-01,94105,Healthcare,932426,13.6,0.158,142156.21199308036,650–699,650–699,$40K–60K,106.0,Securitization,Standardized
107,506,460,129458,2019-10-09,20002,Tech,777303,5.9,0.344,231760.63964340527,<600,<600,$100K+,107.0,Commitment,Internal Model
108,314,315,130384,2010-12-07,20002,Healthcare,688066,14.7,0.536,385555.1490237716,<600,<600,$100K+,,,
109,760,792,88926,2018-03-09,60606,Healthcare,839203,7.5,0.09,55664.24068700075,750+,750+,$80K–100K,109.0,Commitment,Standardized
110,540,725,25997,2011-01-18,10001,Finance,586623,14.6,0.31,115490.33877151569,<600,700–749,<$40K,,,
111,395,407,75506,2012-09-30,10001,Manufacturing,763375,12.9,0.455,270907.0738363085,<600,<600,$60K–80K,,,
112,784,749,98229,2014-04-06,30303,Healthcare,62949,11.4,0.066,3675.127743334192,750+,700–749,$80K–100K,112.0,Securitization,Internal Model
113,706,610,69815,2010-10-27,10001,Finance,473930,14.8,0.144,47827.561824202414,700–749,600–649,$60K–80K,113.0,Derivative,Internal Model
113,706,610,69815,2010-10-27,10001,Finance,473930,14.8,0.144,47827.561824202414,700–749,600–649,$60K–80K,113.0,Commitment,Internal Model
113,706,610,69815,2010-10-27,10001,Finance,473930,14.8,0.144,47827.561824202414,700–749,600–649,$60K–80K,113.0,Guarantee,Standardized
114,530,469,62092,2010-05-19,60606,Manufacturing,105558,15.3,0.32,27457.86092189742,<600,<600,$60K–80K,,,
115,470,845,82539,2010-12-25,30303,Tech,418456,14.7,0.38,133569.5350098962,<600,750+,$80K–100K,115.0,Guarantee,Internal Model
116,840,713,86077,2012-04-15,30303,Tech,898704,13.4,0.01,5701.693676940157,750+,700–749,$80K–100K,116.0,Trade Finance,Standardized
117,335,550,41817,2014-03-03,20002,Retail,799148,11.5,0.515,390976.7176185204,<600,<600,$40K–60K,117.0,Guarantee,Internal Model
117,335,550,41817,2014-03-03,20002,Retail,799148,11.5,0.515,390976.7176185204,<600,<600,$40K–60K,117.0,Derivative,Internal Model
118,824,440,57861,2019-06-19,20002,Finance,157646,6.2,0.026,4634.123583117,750+,<600,$40K–60K,118.0,Commitment,Standardized
119,459,573,33428,2014-06-16,10001,Manufacturing,777175,11.2,0.391,209991.82029860807,<600,<600,<$40K,,,
120,542,715,63934,2015-06-06,30303,Healthcare,476933,10.2,0.308,140826.35383843936,<600,700–749,$60K–80K,120.0,Commitment,Internal Model
120,542,715,63934,2015-06-06,30303,Healthcare,476933,10.2,0.308,140826.35383843936,<600,700–749,$60K–80K,120.0,Commitment,Internal Model
121,385,338,135555,2013-07-27,20002,Tech,514515,12.1,0.465,238972.7884721025,<600,<600,$100K+,,,
122,327,328,134367,2016-12-05,60606,Manufacturing,971570,8.7,0.523,432724.86397376895,<600,<600,$100K+,122.0,Guarantee,Internal Model
122,327,328,134367,2016-12-05,60606,Manufacturing,971570,8.7,0.523,432724.86397376895,<600,<600,$100K+,122.0,Guarantee,Internal Model
123,639,776,30258,2012-06-27,20002,Finance,727186,13.2,0.211,156606.01673089838,600–649,750+,<$40K,123.0,Trade Finance,Internal Model
124,630,617,77775,2013-02-08,20002,Retail,685573,12.6,0.22,127665.0482534808,600–649,600–649,$60K–80K,124.0,Securitization,Internal Model
125,805,544,101580,2017-12-23,30303,Tech,81916,7.7,0.045,3327.854438212908,750+,<600,$100K+,125.0,Trade Finance,Standardized
126,647,571,114947,2015-12-27,30303,Manufacturing,731511,9.7,0.203,89753.1816563615,600–649,<600,$100K+,126.0,Guarantee,Internal Model
127,772,739,25469,2012-09-22,94105,Manufacturing,269590,12.9,0.078,21344.114636655908,750+,700–749,<$40K,127.0,Guarantee,Internal Model
128,530,538,48854,2016-10-18,60606,Manufacturing,782378,8.9,0.32,249561.2087937437,<600,<600,$40K–60K,128.0,Trade Finance,Internal Model
129,489,676,26256,2016-12-31,30303,Finance,585194,8.7,0.361,131620.44758712404,<600,650–699,<$40K,129.0,Derivative,Standardized
130,524,565,144086,2016-05-09,10001,Finance,796895,9.3,0.326,213272.78652146528,<600,<600,$100K+,130.0,Securitization,Internal Model
131,684,658,96256,2018-09-06,60606,Finance,959477,7.0,0.166,189124.0191373237,650–699,650–699,$80K–100K,131.0,Securitization,Standardized
131,684,658,96256,2018-09-06,60606,Finance,959477,7.0,0.166,189124.0191373237,650–699,650–699,$80K–100K,131.0,Securitization,Standardized
131,684,658,96256,2018-09-06,60606,Finance,959477,7.0,0.166,189124.0191373237,650–699,650–699,$80K–100K,131.0,Trade Finance,Internal Model
132,676,639,53937,2015-11-22,60606,Healthcare,84694,9.8,0.174,12562.228837711462,650–699,600–649,$40K–60K,132.0,Trade Finance,Internal Model
133,582,688,119134,2013-05-22,30303,Manufacturing,423867,12.3,0.268,102369.31496035257,<600,650–699,$100K+,133.0,Securitization,Internal Model
134,558,302,21651,2014-11-20,60606,Tech,865126,10.8,0.292,289488.2576990164,<600,<600,<$40K,134.0,Guarantee,Internal Model
135,658,728,70288,2017-09-10,30303,Finance,292152,8.0,0.192,57796.01182747383,650–699,700–749,$60K–80K,135.0,Derivative,Standardized
135,658,728,70288,2017-09-10,30303,Finance,292152,8.0,0.192,57796.01182747383,650–699,700–749,$60K–80K,135.0,Derivative,Internal Model
136,755,441,104730,2017-10-05,20002,Finance,80474,7.9,0.095,7256.984168729174,750+,<600,$100K+,,,
137,710,675,45051,2010-06-14,94105,Manufacturing,572473,15.2,0.14,86452.34970467488,700–749,650–699,$40K–60K,,,
138,617,623,47386,2012-09-25,20002,Finance,360068,12.9,0.233,93847.54886967163,600–649,600–649,$40K–60K,,,
139,524,445,95054,2017-01-11,30303,Healthcare,272048,8.6,0.326,77524.78588898008,<600,<600,$80K–100K,139.0,Trade Finance,Internal Model
140,533,592,131562,2013-07-31,30303,Healthcare,790862,12.1,0.317,221888.6802546184,<600,<600,$100K+,,,
141,673,731,36184,2017-01-08,20002,Finance,736499,8.6,0.177,108411.6285996153,650–699,700–749,<$40K,,,
142,771,698,53787,2011-10-19,10001,Manufacturing,831412,13.9,0.079,77505.78224251034,750+,650–699,$40K–60K,,,
143,532,643,41621,2017-04-14,10001,Manufacturing,556792,8.4,0.318,180300.00755562529,<600,600–649,$40K–60K,143.0,Commitment,Internal Model
143,532,643,41621,2017-04-14,10001,Manufacturing,556792,8.4,0.318,180300.00755562529,<600,600–649,$40K–60K,143.0,Trade Finance,Standardized
144,412,439,95564,2016-01-21,10001,Manufacturing,64970,9.6,0.438,18495.076286312305,<600,<600,$80K–100K,144.0,Securitization,Internal Model
144,412,439,95564,2016-01-21,10001,Manufacturing,64970,9.6,0.438,18495.076286312305,<600,<600,$80K–100K,144.0,Guarantee,Internal Model
144,412,439,95564,2016-01-21,10001,Manufacturing,64970,9.6,0.438,18495.076286312305,<600,<600,$80K–100K,144.0,Securitization,Internal Model
144,412,439,95564,2016-01-21,10001,Manufacturing,64970,9.6,0.438,18495.076286312305,<600,<600,$80K–100K,144.0,Commitment,Standardized
145,796,486,97984,2015-03-25,30303,Retail,288910,10.4,0.054,17438.5763385922,750+,<600,$80K–100K,145.0,Securitization,Standardized
146,741,360,79792,2015-08-09,60606,Finance,651232,10.1,0.109,63057.89594495077,700–749,<600,$60K–80K,,,
147,567,679,65253,2015-10-13,30303,Manufacturing,890354,9.9,0.283,161576.46978869106,<600,650–699,$60K–80K,147.0,Commitment,Standardized
148,809,739,54051,2018-08-29,60606,Healthcare,414911,7.0,0.041,15817.67050700379,750+,700–749,$40K–60K,148.0,Derivative,Internal Model
