Exposure_ID,Counterparty_ID,Product_Type,OBS_Category,Exposure_Amount,CCF_Category,Risk_Weight_Applied,Structuring_Strategy,Collateral_Type,Collateral_Value,Guarantee_Provider,Netting_Agreement,CCF_Source,Basel_Asset_Class,Internal_Rating,Currency,Jurisdiction,Maturity_Months,Reporting_Date,Regulatory_CCF_Applied,EAD,RWA
14,459,Securitization,Performance Guarantee,1789080,100%,0.2,Netting,Property,365391,None,No,Standardized,Bank,A,EUR,Germany,56,2021-12-22,1.0,1789080.0,357816.0
15,88,Guarantee,Derivative Exposure,495377,0%,0.75,Guarantee-Enhanced,None,242262,None,No,Standardized,Sovereign,AA,GBP,UK,105,2024-05-26,0.0,0.0,0.0
16,373,Commitment,Performance Guarantee,1588510,50%,0.5,Guarantee-Enhanced,Securities,533285,None,No,Standardized,Retail,AAA,USD,Cyprus,4,2024-10-25,0.5,794255.0,397127.5
17,100,Guarantee,Performance Guarantee,569089,20%,0.5,Netting,None,106102,None,No,Standardized,Sovereign,AA,USD,Greece,100,2024-04-11,0.2,113817.8,56908.9
18,872,Derivative,Other OBS,796434,0%,0.5,Netting,None,872143,Corporate Guarantee,Yes,Internal Model,Sovereign,AAA,USD,Germany,48,2021-10-01,0.0,0.0,0.0
19,664,Guarantee,Derivative Exposure,1307008,50%,1.0,Netting,Securities,378189,Sovereign Guarantee,No,Internal Model,Bank,BB,EUR,Cyprus,17,2020-04-15,0.5,653504.0,653504.0
20,131,Securitization,Other OBS,232051,20%,0.5,Netting,Securities,565148,Sovereign Guarantee,Yes,Standardized,Corporate,AA,GBP,Greece,111,2020-06-13,0.2,46410.200000000004,23205.100000000002
21,662,Trade Finance,Undrawn Commitment,1196237,50%,1.0,Netting,Cash,265369,Sovereign Guarantee,No,Standardized,Bank,CCC,GBP,Greece,36,2020-08-02,0.5,598118.5,598118.5
22,309,Guarantee,Undrawn Commitment,993693,50%,0.75,Netting,Securities,634402,Corporate Guarantee,No,Internal Model,Retail,CCC,USD,Cyprus,70,2022-12-30,0.5,496846.5,372634.875
23,770,Securitization,Undrawn Commitment,1796536,0%,0.75,Guarantee-Enhanced,Property,976974,Sovereign Guarantee,Yes,Internal Model,Bank,BB,GBP,Germany,80,2024-10-05,0.0,0.0,0.0
24,344,Securitization,Derivative Exposure,1551352,20%,1.0,Netting,Securities,637506,Corporate Guarantee,No,Standardized,Bank,A,EUR,Cyprus,93,2024-08-15,0.2,310270.4,310270.4
25,492,Derivative,Performance Guarantee,1569832,50%,0.2,Unstructured,Cash,522070,Corporate Guarantee,No,Standardized,Sovereign,AAA,USD,Germany,100,2024-05-21,0.5,784916.0,156983.2
26,414,Securitization,Derivative Exposure,173257,50%,0.5,Netting,Cash,887196,Corporate Guarantee,Yes,Internal Model,Bank,CCC,USD,UK,38,2020-03-30,0.5,86628.5,43314.25
27,806,Securitization,Derivative Exposure,1029062,75%,0.5,Netting,Cash,107041,Sovereign Guarantee,No,Standardized,Retail,B,USD,Cyprus,101,2024-11-30,0.75,771796.5,385898.25
28,386,Securitization,Performance Guarantee,1971213,75%,0.5,Guarantee-Enhanced,Securities,374368,Corporate Guarantee,Yes,Internal Model,Corporate,A,EUR,Cyprus,112,2022-05-23,0.75,1478409.75,739204.875
29,192,Securitization,Other OBS,1367630,75%,1.0,Guarantee-Enhanced,Securities,325800,Sovereign Guarantee,No,Standardized,Bank,AAA,USD,Germany,62,2023-06-05,0.75,1025722.5,1025722.5
30,956,Commitment,Undrawn Commitment,1025217,75%,0.75,Netting,None,445096,Sovereign Guarantee,No,Internal Model,Bank,BB,USD,Germany,48,2023-01-07,0.75,768912.75,576684.5625
31,277,Commitment,Other OBS,1931865,50%,0.5,Guarantee-Enhanced,None,716438,None,Yes,Internal Model,Corporate,CCC,USD,Cyprus,10,2021-08-30,0.5,965932.5,482966.25
32,161,Derivative,Undrawn Commitment,1657828,75%,0.75,Collateralized,Property,481862,None,No,Standardized,Retail,BBB,USD,Greece,105,2020-12-14,0.75,1243371.0,932528.25
33,460,Guarantee,Derivative Exposure,1053171,20%,0.5,Guarantee-Enhanced,None,76290,Corporate Guarantee,Yes,Internal Model,Retail,AA,GBP,Greece,36,2025-02-08,0.2,210634.2,105317.1
34,314,Securitization,Undrawn Commitment,1517019,50%,0.5,Guarantee-Enhanced,Property,56633,Corporate Guarantee,Yes,Standardized,Bank,BB,USD,Greece,29,2022-06-12,0.5,758509.5,379254.75
35,22,Guarantee,Derivative Exposure,973482,75%,1.0,Guarantee-Enhanced,Cash,813087,Sovereign Guarantee,Yes,Standardized,Sovereign,AAA,EUR,UK,78,2020-09-02,0.75,730111.5,730111.5
36,253,Guarantee,Other OBS,853585,50%,0.2,Guarantee-Enhanced,None,121118,Corporate Guarantee,No,Standardized,Bank,AAA,USD,UK,4,2020-09-28,0.5,426792.5,85358.5
37,748,Derivative,Derivative Exposure,1420485,75%,1.0,Unstructured,Securities,698961,Corporate Guarantee,No,Standardized,Corporate,AAA,USD,Germany,44,2021-02-06,0.75,1065363.75,1065363.75
38,857,Securitization,Other OBS,804444,75%,0.5,Unstructured,None,3114,Sovereign Guarantee,Yes,Internal Model,Corporate,AAA,GBP,UK,56,2024-08-19,0.75,603333.0,301666.5
39,561,Securitization,Performance Guarantee,1731076,100%,0.5,Unstructured,Property,812934,Corporate Guarantee,No,Standardized,Corporate,AA,USD,Greece,42,2023-02-13,1.0,1731076.0,865538.0
40,475,Trade Finance,Performance Guarantee,1661935,100%,0.2,Netting,None,49768,Corporate Guarantee,No,Standardized,Bank,A,GBP,Cyprus,100,2023-12-29,1.0,1661935.0,332387.0
41,59,Guarantee,Performance Guarantee,162990,50%,0.75,Netting,Cash,310272,Sovereign Guarantee,No,Standardized,Bank,B,EUR,UK,114,2024-04-02,0.5,81495.0,61121.25
42,511,Guarantee,Derivative Exposure,1168095,50%,0.75,Collateralized,Securities,413244,Sovereign Guarantee,Yes,Standardized,Retail,BBB,GBP,UK,109,2024-01-05,0.5,584047.5,438035.625
43,682,Commitment,Performance Guarantee,1108079,50%,0.5,Unstructured,Property,973069,None,No,Internal Model,Sovereign,AA,USD,Greece,13,2023-04-10,0.5,554039.5,277019.75
44,476,Trade Finance,Undrawn Commitment,1290351,50%,0.75,Netting,Securities,83123,Sovereign Guarantee,Yes,Standardized,Bank,AAA,EUR,UK,46,2022-11-05,0.5,645175.5,483881.625
45,700,Commitment,Other OBS,1031883,75%,0.5,Guarantee-Enhanced,Securities,632543,None,No,Internal Model,Retail,AA,USD,Germany,82,2022-08-18,0.75,773912.25,386956.125
46,976,Commitment,Other OBS,1718321,75%,0.2,Guarantee-Enhanced,Property,166405,Corporate Guarantee,No,Internal Model,Bank,BB,GBP,Cyprus,33,2024-11-10,0.75,1288740.75,257748.15000000002
47,783,Commitment,Undrawn Commitment,763226,75%,0.2,Unstructured,Securities,3174,Sovereign Guarantee,Yes,Internal Model,Retail,B,EUR,Greece,21,2022-06-16,0.75,572419.5,114483.90000000001
48,190,Derivative,Derivative Exposure,1246553,50%,0.5,Collateralized,Securities,117769,Sovereign Guarantee,No,Standardized,Retail,AAA,EUR,Germany,80,2022-12-15,0.5,623276.5,311638.25
49,958,Derivative,Derivative Exposure,1668702,20%,0.2,Collateralized,None,297542,Sovereign Guarantee,Yes,Standardized,Sovereign,BBB,GBP,Greece,79,2024-06-02,0.2,333740.4,66748.08
50,687,Commitment,Other OBS,1550071,50%,1.0,Guarantee-Enhanced,Securities,429145,Corporate Guarantee,No,Standardized,Bank,AAA,GBP,Germany,118,2023-01-31,0.5,775035.5,775035.5
51,958,Trade Finance,Performance Guarantee,1712353,20%,1.0,Collateralized,Securities,135393,None,Yes,Standardized,Retail,B,EUR,Cyprus,57,2020-10-10,0.2,342470.60000000003,342470.60000000003
52,563,Guarantee,Derivative Exposure,76806,100%,0.2,Unstructured,Securities,385693,Corporate Guarantee,No,Internal Model,Corporate,BBB,EUR,Cyprus,69,2024-09-24,1.0,76806.0,15361.2
53,876,Trade Finance,Derivative Exposure,1274648,50%,0.5,Guarantee-Enhanced,Securities,751331,Corporate Guarantee,No,Internal Model,Corporate,B,GBP,Germany,70,2021-05-31,0.5,637324.0,318662.0
54,567,Securitization,Undrawn Commitment,465384,20%,0.5,Netting,Property,766868,Sovereign Guarantee,No,Standardized,Corporate,BBB,USD,Germany,102,2021-09-09,0.2,93076.8,46538.4
55,244,Derivative,Undrawn Commitment,120119,0%,0.2,Netting,Cash,186493,None,Yes,Standardized,Sovereign,A,EUR,Germany,67,2023-07-25,0.0,0.0,0.0
56,832,Guarantee,Performance Guarantee,1923722,75%,0.75,Collateralized,None,596923,Corporate Guarantee,Yes,Standardized,Retail,CCC,GBP,Germany,48,2025-03-23,0.75,1442791.5,1082093.625
57,505,Guarantee,Derivative Exposure,1283741,75%,1.0,Guarantee-Enhanced,Securities,810192,Sovereign Guarantee,Yes,Standardized,Sovereign,A,USD,Germany,76,2021-09-03,0.75,962805.75,962805.75
58,131,Securitization,Derivative Exposure,1940427,50%,0.75,Guarantee-Enhanced,Securities,928864,Corporate Guarantee,No,Standardized,Bank,AA,EUR,Germany,100,2022-01-19,0.5,970213.5,727660.125
59,485,Securitization,Undrawn Commitment,679720,0%,0.5,Netting,Property,665673,Corporate Guarantee,Yes,Standardized,Bank,AA,EUR,Cyprus,33,2023-07-16,0.0,0.0,0.0
60,819,Commitment,Derivative Exposure,520641,50%,0.5,Guarantee-Enhanced,Cash,917106,Sovereign Guarantee,Yes,Standardized,Retail,BBB,GBP,Germany,36,2025-01-30,0.5,260320.5,130160.25
61,647,Derivative,Other OBS,929381,50%,0.75,Guarantee-Enhanced,Securities,767166,Sovereign Guarantee,Yes,Internal Model,Corporate,AAA,USD,UK,33,2021-02-03,0.5,464690.5,348517.875
62,21,Derivative,Undrawn Commitment,1569603,75%,0.2,Guarantee-Enhanced,Property,217070,None,Yes,Internal Model,Retail,CCC,EUR,Cyprus,31,2024-03-06,0.75,1177202.25,235440.45
63,841,Trade Finance,Performance Guarantee,457507,75%,0.75,Collateralized,None,399017,Corporate Guarantee,Yes,Internal Model,Retail,BB,USD,Greece,21,2020-03-26,0.75,343130.25,257347.6875
64,167,Commitment,Undrawn Commitment,1800740,50%,0.75,Guarantee-Enhanced,None,800562,Sovereign Guarantee,Yes,Internal Model,Retail,BB,USD,Cyprus,27,2020-11-15,0.5,900370.0,675277.5
65,274,Commitment,Derivative Exposure,913403,20%,1.0,Unstructured,Securities,931775,Sovereign Guarantee,Yes,Standardized,Sovereign,AAA,EUR,Greece,91,2022-11-21,0.2,182680.6,182680.6
66,388,Commitment,Performance Guarantee,929903,100%,1.0,Collateralized,Securities,409291,None,Yes,Standardized,Bank,AAA,USD,Greece,72,2020-12-01,1.0,929903.0,929903.0
67,601,Commitment,Undrawn Commitment,1949954,50%,0.75,Guarantee-Enhanced,Cash,495671,None,Yes,Standardized,Retail,A,EUR,UK,101,2020-02-20,0.5,974977.0,731232.75
68,316,Derivative,Other OBS,935421,75%,0.75,Guarantee-Enhanced,Cash,369359,Sovereign Guarantee,Yes,Standardized,Retail,BB,USD,Germany,62,2023-01-07,0.75,701565.75,526174.3125
69,14,Derivative,Other OBS,134080,20%,0.5,Unstructured,Securities,150056,None,No,Standardized,Retail,BBB,EUR,Germany,96,2024-09-17,0.2,26816.0,13408.0
70,242,Commitment,Undrawn Commitment,1351367,50%,1.0,Collateralized,Property,874527,Sovereign Guarantee,No,Internal Model,Sovereign,B,GBP,Cyprus,26,2020-06-22,0.5,675683.5,675683.5
71,777,Trade Finance,Other OBS,1028836,0%,1.0,Netting,Cash,847374,Corporate Guarantee,Yes,Standardized,Sovereign,AA,EUR,Germany,66,2025-05-25,0.0,0.0,0.0
72,346,Guarantee,Other OBS,1176370,50%,0.5,Netting,Securities,143933,None,No,Internal Model,Sovereign,B,EUR,UK,12,2024-06-29,0.5,588185.0,294092.5
73,565,Guarantee,Other OBS,342985,100%,0.2,Collateralized,Cash,98970,Corporate Guarantee,No,Standardized,Retail,A,EUR,Cyprus,22,2021-05-15,1.0,342985.0,68597.0
74,898,Trade Finance,Performance Guarantee,174447,50%,1.0,Guarantee-Enhanced,Securities,82203,Corporate Guarantee,Yes,Internal Model,Corporate,BB,USD,Cyprus,17,2024-05-17,0.5,87223.5,87223.5
75,340,Commitment,Other OBS,170029,0%,1.0,Guarantee-Enhanced,None,988880,Corporate Guarantee,Yes,Standardized,Corporate,CCC,GBP,Cyprus,7,2020-03-16,0.0,0.0,0.0
76,92,Derivative,Other OBS,229830,0%,0.2,Netting,Securities,192319,Sovereign Guarantee,Yes,Internal Model,Corporate,AAA,USD,Germany,107,2020-11-11,0.0,0.0,0.0
77,367,Guarantee,Other OBS,1606518,50%,1.0,Netting,None,200173,Corporate Guarantee,No,Standardized,Bank,CCC,USD,Germany,68,2025-01-30,0.5,803259.0,803259.0
78,956,Securitization,Performance Guarantee,1436992,20%,1.0,Netting,Cash,501946,Corporate Guarantee,Yes,Standardized,Retail,CCC,EUR,Germany,37,2023-10-28,0.2,287398.4,287398.4
79,455,Securitization,Undrawn Commitment,611931,0%,0.2,Unstructured,Securities,676337,Corporate Guarantee,No,Standardized,Corporate,BB,USD,Cyprus,38,2023-01-09,0.0,0.0,0.0
80,428,Trade Finance,Derivative Exposure,356094,75%,0.2,Netting,Cash,443833,Sovereign Guarantee,Yes,Standardized,Corporate,BBB,EUR,Cyprus,96,2025-03-11,0.75,267070.5,53414.100000000006
81,509,Commitment,Other OBS,1286497,50%,0.75,Unstructured,None,974977,Corporate Guarantee,No,Internal Model,Corporate,A,GBP,Greece,11,2024-07-21,0.5,643248.5,482436.375
82,776,Guarantee,Undrawn Commitment,1461220,20%,0.5,Collateralized,Securities,217726,Corporate Guarantee,No,Standardized,Retail,AAA,USD,Greece,1,2024-09-14,0.2,292244.0,146122.0
83,943,Commitment,Other OBS,733404,100%,0.5,Guarantee-Enhanced,Cash,874609,None,Yes,Internal Model,Corporate,B,USD,Germany,25,2024-11-13,1.0,733404.0,366702.0
84,35,Guarantee,Performance Guarantee,1597261,20%,0.2,Netting,None,597190,Sovereign Guarantee,Yes,Standardized,Corporate,BBB,USD,Cyprus,42,2021-11-27,0.2,319452.2,63890.44
85,206,Trade Finance,Undrawn Commitment,437732,100%,0.2,Guarantee-Enhanced,Cash,92172,Corporate Guarantee,No,Internal Model,Retail,B,EUR,Germany,52,2022-10-06,1.0,437732.0,87546.40000000001
86,81,Trade Finance,Performance Guarantee,1638861,50%,1.0,Guarantee-Enhanced,Property,670990,None,No,Standardized,Bank,AA,EUR,Germany,24,2022-01-01,0.5,819430.5,819430.5
87,932,Securitization,Other OBS,916183,100%,0.75,Netting,None,544344,Sovereign Guarantee,Yes,Standardized,Sovereign,A,USD,Greece,53,2022-12-30,1.0,916183.0,687137.25
88,562,Commitment,Other OBS,672893,75%,0.75,Netting,None,138454,Sovereign Guarantee,Yes,Internal Model,Corporate,BBB,USD,UK,107,2022-08-26,0.75,504669.75,378502.3125
89,872,Securitization,Performance Guarantee,891965,75%,0.2,Collateralized,None,55739,Sovereign Guarantee,No,Standardized,Sovereign,BBB,GBP,Germany,56,2022-05-03,0.75,668973.75,133794.75
90,388,Commitment,Derivative Exposure,394710,100%,1.0,Unstructured,Securities,868117,Sovereign Guarantee,Yes,Standardized,Bank,B,GBP,UK,63,2021-10-27,1.0,394710.0,394710.0
91,2,Securitization,Performance Guarantee,1848806,20%,1.0,Unstructured,Securities,48639,Sovereign Guarantee,No,Internal Model,Bank,AAA,GBP,UK,81,2024-11-15,0.2,369761.2,369761.2
92,390,Derivative,Other OBS,1768507,100%,0.5,Guarantee-Enhanced,Securities,453054,Sovereign Guarantee,Yes,Standardized,Corporate,AA,GBP,Cyprus,8,2021-10-13,1.0,1768507.0,884253.5
93,566,Derivative,Performance Guarantee,682543,50%,0.5,Netting,Property,439257,Corporate Guarantee,Yes,Internal Model,Retail,B,GBP,Cyprus,59,2022-12-30,0.5,341271.5,170635.75
94,106,Derivative,Derivative Exposure,834586,50%,1.0,Collateralized,Property,787424,Corporate Guarantee,Yes,Standardized,Bank,BBB,EUR,Germany,45,2020-02-15,0.5,417293.0,417293.0
95,772,Derivative,Performance Guarantee,1061967,50%,0.5,Collateralized,None,596682,Corporate Guarantee,No,Internal Model,Sovereign,A,GBP,Greece,27,2022-12-06,0.5,530983.5,265491.75
96,822,Guarantee,Derivative Exposure,501157,50%,0.2,Collateralized,Property,329801,Corporate Guarantee,Yes,Internal Model,Sovereign,BBB,GBP,Greece,52,2024-06-02,0.5,250578.5,50115.700000000004
97,477,Derivative,Derivative Exposure,1156581,20%,1.0,Collateralized,Cash,813592,None,No,Internal Model,Sovereign,BB,USD,Germany,18,2023-12-16,0.2,231316.2,231316.2
98,703,Trade Finance,Performance Guarantee,1315898,50%,0.5,Collateralized,None,831588,Corporate Guarantee,Yes,Internal Model,Sovereign,A,EUR,Germany,91,2020-05-28,0.5,657949.0,328974.5
99,402,Trade Finance,Performance Guarantee,1288360,50%,0.75,Unstructured,None,182447,Sovereign Guarantee,No,Standardized,Bank,A,GBP,Greece,86,2022-06-28,0.5,644180.0,483135.0
100,730,Guarantee,Undrawn Commitment,1666405,75%,1.0,Unstructured,Cash,348586,Corporate Guarantee,No,Standardized,Corporate,BBB,GBP,UK,16,2023-02-27,0.75,1249803.75,1249803.75
101,556,Derivative,Other OBS,73387,75%,1.0,Unstructured,None,674932,Corporate Guarantee,Yes,Internal Model,Corporate,AAA,GBP,Germany,66,2021-03-31,0.75,55040.25,55040.25
102,162,Derivative,Derivative Exposure,930412,50%,0.75,Netting,Property,380069,Sovereign Guarantee,No,Standardized,Sovereign,A,USD,UK,5,2024-07-20,0.5,465206.0,348904.5
103,202,Derivative,Undrawn Commitment,1802844,50%,0.2,Guarantee-Enhanced,Securities,4136,Corporate Guarantee,No,Standardized,Corporate,BB,USD,Germany,82,2022-05-26,0.5,901422.0,180284.40000000002
104,958,Securitization,Performance Guarantee,1184033,20%,0.75,Collateralized,Cash,61868,Corporate Guarantee,No,Standardized,Sovereign,B,USD,Germany,3,2024-07-12,0.2,236806.6,177604.95
105,996,Commitment,Other OBS,194129,20%,1.0,Netting,Property,344407,Corporate Guarantee,No,Internal Model,Sovereign,AAA,GBP,UK,91,2022-08-23,0.2,38825.8,38825.8
106,270,Securitization,Undrawn Commitment,1686892,0%,0.2,Collateralized,Cash,818599,None,Yes,Standardized,Retail,AAA,USD,UK,118,2022-05-18,0.0,0.0,0.0
107,863,Commitment,Derivative Exposure,1078308,50%,0.5,Unstructured,Cash,110957,Corporate Guarantee,Yes,Standardized,Bank,AAA,GBP,Greece,81,2024-03-08,0.5,539154.0,269577.0
108,816,Derivative,Undrawn Commitment,1742110,20%,0.5,Netting,None,539767,Sovereign Guarantee,Yes,Internal Model,Bank,A,EUR,Germany,80,2022-07-17,0.2,348422.0,174211.0
109,271,Derivative,Derivative Exposure,367875,100%,0.5,Unstructured,None,119392,Sovereign Guarantee,No,Standardized,Sovereign,AAA,GBP,Cyprus,70,2022-10-20,1.0,367875.0,183937.5
110,456,Securitization,Performance Guarantee,1778794,50%,1.0,Collateralized,Property,686736,Corporate Guarantee,No,Internal Model,Bank,BBB,USD,Cyprus,115,2022-09-27,0.5,889397.0,889397.0
111,462,Securitization,Other OBS,1278337,50%,0.75,Collateralized,Cash,660183,Corporate Guarantee,Yes,Internal Model,Corporate,AAA,EUR,Germany,7,2022-02-12,0.5,639168.5,479376.375
112,727,Commitment,Other OBS,618926,50%,0.2,Guarantee-Enhanced,None,780516,Corporate Guarantee,Yes,Internal Model,Sovereign,BB,GBP,Germany,50,2020-08-31,0.5,309463.0,61892.600000000006
113,252,Trade Finance,Other OBS,534814,20%,0.5,Collateralized,None,201528,Sovereign Guarantee,No,Standardized,Retail,AA,EUR,Germany,14,2021-04-18,0.2,106962.8,53481.4
114,702,Commitment,Performance Guarantee,1276134,50%,0.2,Unstructured,Cash,806017,Sovereign Guarantee,Yes,Standardized,Corporate,BB,EUR,UK,38,2021-01-16,0.5,638067.0,127613.40000000001
115,296,Securitization,Derivative Exposure,1643431,75%,1.0,Collateralized,Property,234847,None,Yes,Internal Model,Retail,A,EUR,Cyprus,104,2023-01-31,0.75,1232573.25,1232573.25
116,725,Securitization,Performance Guarantee,472955,50%,0.5,Guarantee-Enhanced,Property,934776,None,No,Internal Model,Retail,AAA,GBP,Cyprus,79,2021-05-03,0.5,236477.5,118238.75
117,720,Guarantee,Other OBS,1680668,50%,1.0,Guarantee-Enhanced,Cash,813051,None,Yes,Internal Model,Bank,AAA,USD,Cyprus,111,2022-11-26,0.5,840334.0,840334.0
118,749,Securitization,Performance Guarantee,1469541,100%,0.75,Unstructured,Property,861501,Sovereign Guarantee,No,Internal Model,Bank,BBB,GBP,Germany,47,2024-08-04,1.0,1469541.0,1102155.75
119,338,Guarantee,Performance Guarantee,1102330,100%,1.0,Netting,None,302039,None,Yes,Internal Model,Sovereign,B,USD,UK,112,2024-04-21,1.0,1102330.0,1102330.0
120,879,Trade Finance,Performance Guarantee,1649908,75%,1.0,Collateralized,Cash,265864,Corporate Guarantee,No,Internal Model,Bank,AAA,GBP,Germany,33,2024-03-23,0.75,1237431.0,1237431.0
121,53,Commitment,Derivative Exposure,117260,50%,0.75,Guarantee-Enhanced,None,281411,Corporate Guarantee,No,Standardized,Retail,CCC,GBP,Greece,43,2024-11-01,0.5,58630.0,43972.5
122,792,Commitment,Undrawn Commitment,1165488,75%,0.2,Collateralized,Securities,146768,Sovereign Guarantee,No,Internal Model,Retail,BB,GBP,Greece,91,2023-09-18,0.75,874116.0,174823.2
123,922,Guarantee,Undrawn Commitment,306695,20%,0.75,Collateralized,Securities,685328,None,No,Internal Model,Corporate,A,USD,Cyprus,29,2021-01-31,0.2,61339.0,46004.25
124,217,Commitment,Performance Guarantee,582994,50%,0.75,Netting,Property,315508,Corporate Guarantee,No,Internal Model,Retail,AA,GBP,Germany,57,2020-10-22,0.5,291497.0,218622.75
125,764,Securitization,Undrawn Commitment,845326,0%,1.0,Guarantee-Enhanced,Securities,416561,Sovereign Guarantee,Yes,Standardized,Sovereign,AAA,EUR,Greece,101,2020-04-16,0.0,0.0,0.0
126,188,Derivative,Undrawn Commitment,396130,50%,0.2,Collateralized,None,51567,None,Yes,Standardized,Sovereign,AA,GBP,Greece,5,2022-05-09,0.5,198065.0,39613.0
127,380,Guarantee,Performance Guarantee,918374,50%,0.5,Guarantee-Enhanced,Securities,91229,Corporate Guarantee,Yes,Standardized,Bank,AAA,EUR,Germany,93,2022-08-11,0.5,459187.0,229593.5
128,493,Commitment,Performance Guarantee,1805548,20%,0.75,Unstructured,None,979111,None,No,Standardized,Bank,A,USD,UK,96,2021-06-13,0.2,361109.60000000003,270832.2
129,41,Guarantee,Other OBS,79725,100%,0.2,Unstructured,Property,412601,Sovereign Guarantee,Yes,Internal Model,Bank,B,USD,Germany,60,2025-01-22,1.0,79725.0,15945.0
130,157,Guarantee,Undrawn Commitment,1235574,100%,0.75,Collateralized,Property,476874,None,No,Standardized,Sovereign,BB,GBP,Germany,117,2023-01-11,1.0,1235574.0,926680.5
131,15,Derivative,Derivative Exposure,154555,75%,0.75,Guarantee-Enhanced,None,984404,Sovereign Guarantee,No,Internal Model,Retail,A,GBP,UK,70,2022-07-22,0.75,115916.25,86937.1875
132,813,Securitization,Performance Guarantee,311486,50%,0.75,Collateralized,Securities,199316,None,Yes,Internal Model,Bank,AA,GBP,Cyprus,2,2020-10-14,0.5,155743.0,116807.25
133,65,Guarantee,Other OBS,845928,100%,0.75,Guarantee-Enhanced,Property,720785,Corporate Guarantee,No,Internal Model,Corporate,AAA,EUR,Cyprus,70,2021-12-06,1.0,845928.0,634446.0
134,857,Commitment,Derivative Exposure,1679311,20%,1.0,Guarantee-Enhanced,Cash,864950,Sovereign Guarantee,Yes,Internal Model,Bank,AA,USD,Cyprus,110,2024-01-24,0.2,335862.2,335862.2
135,839,Trade Finance,Undrawn Commitment,938036,75%,0.2,Netting,Property,607132,Sovereign Guarantee,No,Internal Model,Sovereign,BB,EUR,UK,43,2020-08-02,0.75,703527.0,140705.4
136,521,Guarantee,Other OBS,1783742,20%,0.2,Netting,Securities,163991,Sovereign Guarantee,No,Internal Model,Bank,CCC,EUR,Greece,4,2023-07-28,0.2,356748.4,71349.68000000001
137,344,Guarantee,Performance Guarantee,924631,75%,0.2,Netting,Cash,614985,None,Yes,Standardized,Retail,A,GBP,UK,56,2022-01-01,0.75,693473.25,138694.65
138,129,Derivative,Derivative Exposure,615609,20%,0.75,Collateralized,Securities,581484,None,No,Standardized,Bank,AA,GBP,Germany,93,2025-05-31,0.2,123121.8,92341.35
139,648,Securitization,Performance Guarantee,1875977,100%,1.0,Netting,None,639888,Corporate Guarantee,Yes,Standardized,Sovereign,AA,EUR,UK,59,2024-01-22,1.0,1875977.0,1875977.0
